mpid	log(PF_p*10^9)	mean_Number
mp-540927	2.491361694	23.08333333
mp-707182	5.828659897	10.19047619
mp-556389	6.695481676	32.46153846
mp-780113	5.648360011	9.583333333
mp-505435	6.875639937	40
mp-556657	6.274157849	9.733333333
mp-746662	4.1430148	4.120481928
mp-556278	3.982271233	16.10526316
mp-696181	6.426511261	7.913043478
mp-698313	4.120573931	10.04761905
mp-561160	5.989894564	17.3
mp-738657	5.810904281	9.129032258
mp-782009	6.164352856	34.46808511
mp-645316	5.212187604	6.9
mp-781880	5	28.72340426
mp-761825	6.130333768	18
mp-758894	6.093421685	15.55555556
mp-756432	6.167317335	15.55555556
mp-695202	2.862727528	10.30508475
mp-694964	5.959994838	10.2962963
mp-755031	7.830588669	14.09090909
mp-769633	7.469822016	10.36363636
mp-767688	7.28780173	13.45454545
mp-28348	6.799340549	38.66666667
mp-31053	6.705007959	36.66666667
mp-560025	6.814247596	36.66666667
mp-29187	6.773786445	16.28571429
mp-531170	6.945960704	59.5
mp-772981	5.56937391	15.40740741
mp-23544	5.555094449	40.18181818
mp-18168	5.903632516	22.57142857
mp-776081	5.552668216	15.33333333
mp-554107	4.921166051	13.46666667
mp-23535	6.274157849	29.71428571
mp-696946	6.571708832	21.11111111
mp-767471	6.444044796	11.71428571
mp-626721	6.075546961	15.33333333
