mpid,formula,crystal_system,e_hull,band_gap,formation,space_group
mp-1208048,TlVSeO5,3,0,2.4187,-1.713220367,33
mp-559053,NaY(SeO3)2,3,0,4.1636,-2.185212063,33
mp-704626,FeAg(SeO3)2,3,0,1.6046,-1.24521295,33
mp-1212002,KEr(SeO4)2,3,0,3.4656,-2.006505148,33
mp-11582,LiGaSe2,3,0,2.0656,-1.063571209,33
mp-1196301,La2Mn(SeO)2,3,0,1.7513,-2.734543271,33
mp-7117,LiAlSe2,3,0,3.0233,-1.276307118,33
mp-555816,KDy(SeO4)2,3,0,3.4722,-2.008223912,33
mp-1212816,KGd(SeO4)2,3,0,3.183,-1.990300172,33
mp-1205246,MnSb2H18(Se2N3)2,3,0,1.3103,-0.466344047,33
mp-28131,C(Se2Br)2,3,0,1.4971,-0.306262312,33
mp-17964,Na2Ge2Se5,3,0,1.4023,-0.863211369,33
mp-1211446,Li7PSe6,3,0,0.9336,-1.11847391,33
mp-1204742,Nd2H6Se7O20,3,0,3.5475,-1.647478821,33
mp-1208574,Ta4Se8SI8,3,0,1.0721,-0.931458094,33
mp-569258,Ta4Se9I8,3,0,0.88,-0.901130193,33
mp-1216363,VCu3(SeS)2,3,0,0.891,-0.790621322,35
mp-1220452,NbCu3(SeS)2,3,0,1.4624,-0.80205048,35
mp-1218032,TaCu3(SeS)2,3,0,1.7547,-0.810739506,35
mp-1192701,TaH6C2SeCl5,3,0,2.2733,-0.875674186,36
mp-510293,Pb3SeO5,3,0,2.4633,-1.213125974,36
mp-14588,Na2PtSe2,3,0,0.869,-0.974080662,36
mp-1078751,Na2PdSe2,3,0,0.6253,-0.957524377,36
mp-554548,BaMo2Se2O11,3,0,2.2489,-1.933749329,36
mp-1190450,NaNbSe2O7,3,0,2.9067,-1.976210329,36
mp-7447,Rb2Se3,3,0,0.6812,-1.08018316,36
mp-7670,K2Se3,3,0,0.644,-0.950030975,36
mp-7449,Cs2Se3,3,0,0.7396,-1.102170255,36
mp-1105202,Ba2InBiSe5,3,0,1.061,-1.47563044,36
mp-1189339,Ba2InSbSe5,3,0,0.768,-1.430602192,36
mp-1190093,Ba2NdInSe5,3,0,1.0692,-1.876106499,36
mp-1220674,Nb3(CuSe3)2,3,0,0.0,-0.814191806,36
mp-1196887,Ba4SiSb2Se11,3,0,0.8874,-1.401036405,36
mp-4412,La4Se3O4,3,0,1.3261,-3.254472816,38
mp-30192,Pr4Se3O4,3,0,1.315,-3.103120405,38
mp-550117,Sm4Se3O4,3,0,1.2891,-3.094093817,38
mp-553278,Nd4Se3O4,3,0,1.3233,-3.057284172,38
mp-1224047,K2(NbSe2)3,3,0,0.0,-1.281032356,38
mp-29839,Bi2SeO5,3,0,2.8422,-1.58984674,39
mp-571288,KTa(AgSe2)2,3,0,1.7478,-0.902014785,40
mp-6599,KNb(CuSe2)2,3,0,1.4228,-0.964863646,40
mp-11925,RbTa(CuSe2)2,3,0,1.7333,-0.986762767,40
mp-30293,Sr2GeSe4,3,0,1.7283,-1.570705549,40
mp-12364,BaCu2SnSe4,3,0,0.453,-0.975609921,40
mp-567177,KNb(AgSe2)2,3,0,1.459,-0.894238619,40
mp-17307,K2Hg3(GeSe4)2,3,0,1.0352,-0.752814337,41
mp-570544,Zr(SeCl6)2,3,0,2.5978,-0.912021231,43
mp-571313,Hf(SeCl6)2,3,0,2.7918,-0.922353281,43
mp-1204333,BaMnSnSe4,3,0,0.9142,-1.176872657,43
mp-1221747,MnGa2(CuSe2)3,3,0,0.0,-0.662206383,43
mp-1203641,V2Pb4(Se2O7)3,3,0,2.3938,-1.600614308,43
mp-567491,Rb4Ti2P6Se25,3,0,1.1898,-0.817423888,43
